id,imdb_rating,imdb_votes,rotten_tomatoes_score,metacritic_score,awards,writer,rated,country
70981,7.0,683991.0,73.0,64.0,Nominated for 1 Oscar. 6 wins & 47 nominations total,"Jon Spaihts, Damon Lindelof, Dan O'Bannon",R,"United Kingdom, United States"
346364,7.3,651434.0,85.0,69.0,12 wins & 49 nominations total,"Chase Palmer, Cary Joji Fukunaga, Gary Dauberman",R,"United States, Canada"
458156,7.4,463411.0,89.0,73.0,18 wins & 29 nominations total,"Derek Kolstad, Shay Hatten, Chris Collins",R,"United States, Morocco, Ukraine, Italy"
854,7.0,454382.0,80.0,59.0,Nominated for 1 Oscar. 6 wins & 22 nominations total,"Michael Fallon, Mark Verheiden, Mike Werb",PG-13,United States
96239,5.7,319.0,,56.0,2 wins & 9 nominations,"Raymond Lee, Jade Castro, Michiko Yamamoto",Not Rated,Philippines
616037,6.1,443961.0,63.0,57.0,4 wins & 21 nominations total,"Taika Waititi, Jennifer Kaytin Robinson, Stan Lee",PG-13,"Australia, United States"
297802,6.8,542959.0,66.0,55.0,3 wins & 36 nominations total,"David Leslie Johnson-McGoldrick, Will Beall, Geoff Johns",PG-13,United States
927342,8.1,18756.0,,,N/A,Rajkumar Periasamy,N/A,India
6877,5.7,92001.0,23.0,47.0,5 nominations total,"Tom J. Astle, Matt Ember",PG-13,United States
238636,6.4,169236.0,58.0,50.0,3 wins & 6 nominations total,James DeMonaco,R,"France, United States"
524,8.2,600461.0,79.0,73.0,Nominated for 1 Oscar. 4 wins & 11 nominations total,"Nicholas Pileggi, Martin Scorsese",R,"United States, France"
140607,6.7,6.0,,,N/A,Scott Bromley,N/A,USA
512200,6.6,308473.0,72.0,58.0,2 wins & 10 nominations total,"Jake Kasdan, Jeff Pinkner, Scott Rosenberg",PG-13,"United States, India, Australia, New Zealand, Thailand, Canada, South Korea, China, Netherlands"
10020,8.0,496955.0,95.0,95.0,Won 2 Oscars. 33 wins & 32 nominations total,"Linda Woolverton, Brenda Chapman, Chris Sanders",G,"United States, Japan"
9472,6.7,278904.0,72.0,55.0,2 wins & 9 nominations total,Rawson Marshall Thurber,PG-13,"Germany, United States"
4232,7.4,425175.0,77.0,66.0,12 wins & 11 nominations total,Kevin Williamson,R,United States
254,7.2,461263.0,84.0,81.0,Won 3 Oscars. 47 wins & 104 nominations total,"Fran Walsh, Philippa Boyens, Peter Jackson",PG-13,"United States, New Zealand, Germany"
16094,6.5,17324.0,94.0,76.0,3 wins & 10 nominations total,Reginald Hudlin,R,United States
419430,7.8,774824.0,98.0,85.0,Won 1 Oscar. 154 wins & 214 nominations total,Jordan Peele,R,"Japan, United States"
363088,7.0,480241.0,87.0,70.0,2 wins & 21 nominations total,"Chris McKenna, Erik Sommers, Paul Rudd",PG-13,"United States, Canada"
9769,6.8,71694.0,69.0,46.0,2 wins & 4 nominations total,"Vladimir Nabokov, Stephen Schiff",R,"France, United States, United Kingdom"
158015,5.8,253257.0,41.0,41.0,2 wins & 6 nominations total,James DeMonaco,R,"France, United States"
242582,7.8,647047.0,95.0,76.0,Nominated for 1 Oscar. 46 wins & 126 nominations total,Dan Gilroy,R,United States
359724,8.1,539559.0,92.0,81.0,Won 2 Oscars. 26 wins & 86 nominations total,"Jez Butterworth, John-Henry Butterworth, Jason Keller",PG-13,United States
109418,5.4,182785.0,8.0,19.0,5 wins & 15 nominations total,"Fred Wolf, Adam Sandler, Tim Herlihy",PG-13,United States
93456,7.3,448848.0,75.0,62.0,Nominated for 2 Oscars. 12 wins & 66 nominations total,"Cinco Paul, Ken Daurio",PG,"United States, France"
162,7.8,551433.0,90.0,74.0,Nominated for 1 Oscar. 11 wins & 25 nominations total,"Tim Burton, Caroline Thompson",PG-13,United States
930564,7.0,248413.0,72.0,61.0,Nominated for 5 BAFTA 15 wins & 107 nominations total,Emerald Fennell,R,"United Kingdom, United States"
550988,7.1,471209.0,80.0,62.0,Nominated for 1 Oscar. 6 wins & 30 nominations total,"Matt Lieberman, Zak Penn",PG-13,"United States, Canada"
495764,6.1,277271.0,79.0,60.0,18 wins & 77 nominations total,"Christina Hodson, Paul Dini, Bruce Timm",R,"United States, United Kingdom"
18240,6.8,383990.0,45.0,48.0,7 wins & 20 nominations total,Peter Chiarelli,PG-13,United States
615656,5.0,96117.0,27.0,40.0,3 wins & 5 nominations total,"Jon Hoeber, Erich Hoeber, Dean Georgaris",PG-13,"United States, China, Thailand, Germany, Canada, United Kingdom"
81188,7.2,203325.0,74.0,58.0,14 wins & 32 nominations total,"David Lindsay-Abaire, William Joyce, Chris Appelhans",PG,"United States, India"
62211,7.2,413988.0,80.0,65.0,Nominated for 2 BAFTA 9 wins & 58 nominations total,"Dan Scanlon, Daniel Gerson, Robert L. Baird",G,"United States, Japan"
10625,7.1,470889.0,84.0,66.0,7 wins & 25 nominations total,"Rosalind Wiseman, Tina Fey",PG-13,"United States, Canada"
545611,7.8,590278.0,93.0,81.0,Won 7 Oscars. 397 wins & 379 nominations total,"Daniel Kwan, Daniel Scheinert",R,United States
889737,5.2,170586.0,31.0,45.0,7 wins & 19 nominations total,"Scott Silver, Todd Phillips, Bob Kane",R,"United States, Canada"
940551,6.6,42510.0,73.0,56.0,1 win & 8 nominations total,"Mike White, Benjamin Renner, Ken Daurio",PG,"Japan, United States"
284053,7.9,869301.0,93.0,74.0,6 wins & 50 nominations total,"Eric Pearson, Craig Kyle, Christopher L. Yost",PG-13,United States
670,8.3,692231.0,82.0,78.0,44 wins & 28 nominations total,"Garon Tsuchiya, Nobuaki Minegishi, Park Chan-wook",R,South Korea
810,6.1,351701.0,41.0,58.0,Nominated for 1 BAFTA Award5 wins & 17 nominations total,"William Steig, Andrew Adamson, Jeffrey Price",PG,United States
956,6.9,415882.0,73.0,66.0,7 wins & 14 nominations total,"Alex Kurtzman, Roberto Orci, J.J. Abrams",PG-13,"United States, Germany, China, Italy"
